,tweet
0,imagines tu pèses plus lourd qu’un homme de  quand tu mesures  et tu restes sereine 
1,ce hashtag montre que les gens ont le corps de leurs idéologies 
2, ce réseau commence a me les casser... je pensais que le physique c'était que sur insta mais ça commence a d'éteindre sure vous. 🥱
3, ayez confiance en vous mes go  nous somme belle  que ce soit les femmes mince ou pulpeuse. ❤️ pic.twitter.comfjjwcudekn
4, de prendre des poses libidineuses de pouffes
5, arrêtez de mettre des gros corps moches en surpoids dans ma tl c’est affreux et il s’agirait de faire du sport l’obésité c’est pas bon pour la santé
6, très sereine* pic.twitter.com
7, enfin on essaye 🤷🏽‍♀️✌🏼 pic.twitter.com
8,et je vous enmerde pic.twitter.com
9,je fais  kg   pic.twitter.com
10,les gens qui insultent les personnes en surpoids ou obèses sur le hashtag  c'est quoi votre problème  non seulement vous ouvrez vos gorges alors que vous n'y connaissez rien et en plus ça s'appelle du harcèlement. vos qi négatifs là.
11,vas y sur le  j'suis la seule a etre un boudin aux pommes comparée a elles toutes 😭
12,je voit le  et je vous jure que j’adorerai avoir la même assurance et confiance que toutes ces femmes sous ce hashtag 🤩💪🏼
13,vous êtes si belles 🥺🥺🥺🥺🥺 
14, mais surtout obèse
15,ptdrrrrrrrrr mon état d'esprit en tt  je suis plus lourde que mon père allez bisous 
16, les meuf grosse ça leurs vas alors que les mecs 😶
17, et en plus je suis fraîche pic.twitter.com
18,les filles du  sont vraiment trop fraîches ❤️🧡💛
19, ce hashtag est vu comme une mise en lumière des personnes de plus de  kg ce qui est très bien mais bon ... on est tous comme on est et personne n'a pas à juger quelqu'un sur son poids ou sur son physique. ce qui est le plus important c'est le mental.
20,c’est quoi ce  
21,c'est quoi ce  débile encore je suis d'accord sur le fait que peser plus de  kg n'est pas toujours problèmatique mais quand tu commence a atteindre les  kg pour les femmes où la taille moyenne est de  la il ne faut pas être serein 
22,les petits kikis trollant les filles qui postent sous le  vous me faites penser à des chiottes sur une aire d’autoroute un week end de chassé croisé estival  c’est sale ça pue ça donne la gerbe et on ne peut rien y faire car la merde est incrustée.
23, lord_drakkon_ le  des muscleboys ça
24,les filles sous ce  c’est des reines 🤍 et pour rappel c’est pas parce qu’on pèse dans le game qu’on a du diabète ou que sais je on est pour la plupart en très bonne santé mdr 
25, ou plutôt plus de  plus de chances de faire un avc mais sereine tout va bien continuez👌
26,freeze corleone  *nique les porcs et les sangliers* le hashtag   *😅*
27,j’adore ce genre de hashtag j’aime ma génération au moins pour ça soyez fieres libres et libérées 😌
